i,encoding,dataset,selectivity,query_time
2,FOR,normal_200M_uint32.txt,0.001,1.03635
2,FOR,normal_200M_uint32.txt,0.01,1.30616
2,FOR,normal_200M_uint32.txt,0.05,1.28405
2,FOR,normal_200M_uint32.txt,0.1,1.29347
2,FOR,normal_200M_uint32.txt,1.0,1.33528
2,FOR,normal_200M_uint32.txt,10.0,2.42752
2,FOR,linear_200M_uint32.txt,0.001,1.0653
2,FOR,linear_200M_uint32.txt,0.01,1.29131
2,FOR,linear_200M_uint32.txt,0.05,1.32715
2,FOR,linear_200M_uint32.txt,0.1,1.3277
2,FOR,linear_200M_uint32.txt,1.0,1.38246
2,FOR,linear_200M_uint32.txt,10.0,2.46562
2,FOR,books_200M_uint32.txt,0.001,1.00029
2,FOR,books_200M_uint32.txt,0.01,1.13833
2,FOR,books_200M_uint32.txt,0.05,1.17082
2,FOR,books_200M_uint32.txt,0.1,1.17418
2,FOR,books_200M_uint32.txt,1.0,1.22172
2,FOR,books_200M_uint32.txt,10.0,2.30817
2,FOR,ml_timestamp_200M.csv,0.001,0.980481
2,FOR,ml_timestamp_200M.csv,0.01,1.16581
2,FOR,ml_timestamp_200M.csv,0.05,1.20112
2,FOR,ml_timestamp_200M.csv,0.1,1.20437
2,FOR,ml_timestamp_200M.csv,1.0,1.27616
2,FOR,ml_timestamp_200M.csv,10.0,3.24282
2,FOR,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.001,1.27435
2,FOR,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.01,1.70569
2,FOR,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.05,1.76332
2,FOR,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.1,1.77061
2,FOR,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,1.0,1.84576
2,FOR,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,10.0,3.82536
2,LECO,normal_200M_uint32.txt,0.001,0.7894
2,LECO,normal_200M_uint32.txt,0.01,0.903464
2,LECO,normal_200M_uint32.txt,0.05,0.934474
2,LECO,normal_200M_uint32.txt,0.1,0.934438
2,LECO,normal_200M_uint32.txt,1.0,0.985921
2,LECO,normal_200M_uint32.txt,10.0,2.20994
2,LECO,linear_200M_uint32.txt,0.001,0.789098
2,LECO,linear_200M_uint32.txt,0.01,0.906628
2,LECO,linear_200M_uint32.txt,0.05,0.93213
2,LECO,linear_200M_uint32.txt,0.1,0.933808
2,LECO,linear_200M_uint32.txt,1.0,0.983922
2,LECO,linear_200M_uint32.txt,10.0,2.20991
2,LECO,books_200M_uint32.txt,0.001,0.957325
2,LECO,books_200M_uint32.txt,0.01,1.07592
2,LECO,books_200M_uint32.txt,0.05,1.10749
2,LECO,books_200M_uint32.txt,0.1,1.11071
2,LECO,books_200M_uint32.txt,1.0,1.16787
2,LECO,books_200M_uint32.txt,10.0,2.41249
2,LECO,ml_timestamp_200M.csv,0.001,0.877761
2,LECO,ml_timestamp_200M.csv,0.01,1.03176
2,LECO,ml_timestamp_200M.csv,0.05,1.05525
2,LECO,ml_timestamp_200M.csv,0.1,1.06088
2,LECO,ml_timestamp_200M.csv,1.0,1.14722
2,LECO,ml_timestamp_200M.csv,10.0,3.26828
2,LECO,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.001,1.04445
2,LECO,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.01,1.33291
2,LECO,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.05,1.37963
2,LECO,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.1,1.37886
2,LECO,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,1.0,1.47571
2,LECO,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,10.0,3.6095
